sentence_id,anchor_text,link_type
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Lisbon,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Suárez,internal
money-heist_sentence_0000001,Luis Tamayo,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,Neymar,internal
money-heist_sentence_0000001,Everything Seemed Insignificant,internal
money-heist_sentence_0000001,Astray,internal
money-heist_sentence_0000001,Money Heist,internal
money-heist_sentence_0000001,Neymar,internal
money-heist_sentence_0000003,Berlin,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,São Paulo,external
money-heist_sentence_0000001,Brazil,external
money-heist_sentence_0000001,João,internal
money-heist_sentence_0000003,João,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Madrid,external
money-heist_sentence_0000001,Spain,external
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000001,Jaime Lorente,internal
money-heist_sentence_0000001,Alison Parker,internal
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,Episode 6 (Part 2),internal
money-heist_sentence_0000002,Alison Parker,internal
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000003,Alison Parker,internal
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000003,Marina,internal
money-heist_sentence_0000003,Élite,internal
money-heist_sentence_0000004,Triana,internal
money-heist_sentence_0000004,Toy Boy,internal
money-heist_sentence_0000006,Jaime Lorente,internal
money-heist_sentence_0000006,[1],other
money-heist_sentence_0000006,[2],other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Alison Parker,internal
money-heist_sentence_0000001,Pablo Ruiz,internal
money-heist_sentence_0000001,Ariadna Cascales,internal
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,Mónica Gaztambide,internal
money-heist_sentence_0000001,Rio,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Mónica Gaztambide,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,Dorothy Elias-Fahn,external
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,Episode 9 (Part 2),internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000003,Moscow,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,[2],other
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Helsinki,internal
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,Oslo,internal
money-heist_sentence_0000001,Moscow,internal
money-heist_sentence_0000001,Lisbon,internal
money-heist_sentence_0000001,Bogotá,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000001,Alfonso Prieto,internal
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,5,internal
money-heist_sentence_0000001,Miguel Herrán,internal
money-heist_sentence_0000001,Johnny Yong Bosch,external
money-heist_sentence_0000001,[3],other
money-heist_sentence_0000001,[4],other
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,Live Many Lives,internal
money-heist_sentence_0000001,Money Heist,internal
money-heist_sentence_0000001,Miguel Herrán,internal
money-heist_sentence_0000002,[1],other
money-heist_sentence_0000002,[2],other
money-heist_sentence_0000005,[5],other
money-heist_sentence_0000006,[6],other
money-heist_sentence_0000010,Royal Mint of Spain,internal
money-heist_sentence_0000011,Tokyo,internal
money-heist_sentence_0000011,The Professor,internal
money-heist_sentence_0000014,Alison Parker,internal
money-heist_sentence_0000017,Tokyo,internal
money-heist_sentence_0000020,Alicia Sierra,internal
money-heist_sentence_0000020,Bank of Spain,internal
money-heist_sentence_0000032,[7],other
money-heist_sentence_0000035,Alison,internal
money-heist_sentence_0000038,Royal Mint of Spain,internal
money-heist_sentence_0000043,Alicia Sierra,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Paquita,internal
money-heist_sentence_0000001,Miguel Fernández Talanilla,internal
money-heist_sentence_0000001,Mario Urbaneja,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,5,internal
money-heist_sentence_0000001,48 Meters Underground,internal
money-heist_sentence_0000001,A Family Tradition,internal
money-heist_sentence_0000002,Mario Urbaneja,internal
money-heist_sentence_0000004,Arturo Román,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Ángel Rubio,internal
money-heist_sentence_0000001,Raquel Murillo,internal
money-heist_sentence_0000001,Luis Tamayo,internal
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000001,Alfonso Prieto,internal
money-heist_sentence_0000001,Benito Antoñanzas,internal
money-heist_sentence_0000001,Raquel Murillo,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,5,internal
money-heist_sentence_0000001,Mario de la Rosa‏‎,internal
money-heist_sentence_0000001,Kyle McCarley,external
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,[2],other
money-heist_sentence_0000001,Episode 2 (Part 1),internal
money-heist_sentence_0000001,A Family Tradition,internal
money-heist_sentence_0000001,Money Heist,internal
money-heist_sentence_0000004,Royal Mint of Spain,internal
money-heist_sentence_0000005,Raquel Murillo,internal
money-heist_sentence_0000005,[3],other
money-heist_sentence_0000005,Arturo Román,internal
money-heist_sentence_0000006,[4],other
money-heist_sentence_0000010,[4],other
money-heist_sentence_0000011,Alfonso Prieto,internal
money-heist_sentence_0000011,Raquel Murillo,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,Episode 9 (Part 2),internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000001,Tatiana,internal
money-heist_sentence_0000002,Tatiana,internal
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,The Paris Plan,internal
money-heist_sentence_0000003,Arturo Román,internal
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000009,gave a shoutout,other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000001,University of Navarra,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,Episode 9 (Part 2),internal
money-heist_sentence_0000009,Royal Mint of Spain Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,[2],other
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,Cincinnati,internal
money-heist_sentence_0000001,Moscow,internal
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000001,Rio,internal
money-heist_sentence_0000001,Helsinki,internal
money-heist_sentence_0000001,Lisbon,internal
money-heist_sentence_0000001,Bogotá,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Matías Caño,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Ariadna Cascales,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,Mercedes Colmenar,internal
money-heist_sentence_0000001,Arantxa Arteche,internal
money-heist_sentence_0000001,Luis Tamayo,internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,5,internal
money-heist_sentence_0000001,Esther Acebo,internal
money-heist_sentence_0000001,[3],other
money-heist_sentence_0000001,[4],other
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,A Family Tradition,internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000002,Denver,internal
money-heist_sentence_0000005,Royal Mint of Spain,internal
money-heist_sentence_0000006,Arturo Román,internal
money-heist_sentence_0000007,Arturo Román,internal
money-heist_sentence_0000010,Robbers of the Royal Mint of Spain,internal
money-heist_sentence_0000011,Royal Mint of Spain,internal
money-heist_sentence_0000012,Berlin,internal
money-heist_sentence_0000014,Oslo,internal
money-heist_sentence_0000016,Denver,internal
money-heist_sentence_0000018,Berlin,internal
money-heist_sentence_0000028,Denver,internal
money-heist_sentence_0000029,Moscow,internal
money-heist_sentence_0000030,Arturo Román,internal
money-heist_sentence_0000035,Nairobi,internal
money-heist_sentence_0000039,Berlin,internal
money-heist_sentence_0000042,Denver,internal
money-heist_sentence_0000046,Helsinki,internal
money-heist_sentence_0000046,Arturo Román,internal
money-heist_sentence_0000050,Royal Mint of Spain,internal
money-heist_sentence_0000051,Moscow,internal
money-heist_sentence_0000051,Nairobi,internal
money-heist_sentence_0000052,Stockholm Syndrome,external
money-heist_sentence_0000054,Alison Parker,internal
money-heist_sentence_0000054,Mercedes Colmenar,internal
money-heist_sentence_0000054,Arturo Román,internal
money-heist_sentence_0000059,Denver,internal
money-heist_sentence_0000063,Helsinki,internal
money-heist_sentence_0000072,Ariadna Cascales,internal
money-heist_sentence_0000073,Berlin,internal
money-heist_sentence_0000074,Nairobi,internal
money-heist_sentence_0000075,Moscow,internal
money-heist_sentence_0000075,Denver,internal
money-heist_sentence_0000075,Rio,internal
money-heist_sentence_0000078,Oslo,internal
money-heist_sentence_0000080,The Professor,internal
money-heist_sentence_0000084,Tokyo,internal
money-heist_sentence_0000085,Denver,internal
money-heist_sentence_0000086,Cincinnati,internal
money-heist_sentence_0000087,The Professor,internal
money-heist_sentence_0000095,Arturo,internal
money-heist_sentence_0000097,Denver,internal
money-heist_sentence_0000098,Rio,internal
money-heist_sentence_0000098,Denver,internal
money-heist_sentence_0000099,Gandía,internal
money-heist_sentence_0000099,Nairobi,internal
money-heist_sentence_0000101,Arturo,internal
money-heist_sentence_0000107,Bank of Spain,internal
money-heist_sentence_0000110,Cincinnati,internal
money-heist_sentence_0000111,Bank of Spain Heist,internal
money-heist_sentence_0000111,Bank of Spain,internal
money-heist_sentence_0000114,Part 1,internal
money-heist_sentence_0000114,Arturo Román,internal
money-heist_sentence_0000119,Nairobi,internal
money-heist_sentence_0000121,Part 2,internal
money-heist_sentence_0000121,Part 3,internal
money-heist_sentence_0000121,Arturo,internal
money-heist_sentence_0000121,Cincinnati,internal
money-heist_sentence_0000122,Part 3,internal
money-heist_sentence_0000123,Cincinnati,internal
money-heist_sentence_0000124,Bank of Spain,internal
money-heist_sentence_0000125,Bank of Spain Heist,internal
money-heist_sentence_0000125,Miguel Fernández Talanilla,internal
money-heist_sentence_0000130,Alicia Sierra,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000004,Episode 8 (Part 2),internal
money-heist_sentence_0000004,the Professor,internal
money-heist_sentence_0000004,Moscow,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Spanish,external
money-heist_sentence_0000003,Money Heist,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Alison Parker,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,Bryce Papenbrook,external
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,Episode 1 (Part 1),internal
money-heist_sentence_0000001,Episode 12 (Part 1),internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000002,Royal Mint of Spain,internal
money-heist_sentence_0000005,Arturo Román,internal
money-heist_sentence_0000006,Aurora,internal
money-heist_sentence_0000006,Elisabeth,internal
money-heist_sentence_0000006,Alison Parker,internal
money-heist_sentence_0000006,[2],other
money-heist_sentence_0000007,Arturo Román,internal
money-heist_sentence_0000008,Jacinto,internal
money-heist_sentence_0000013,Royal Mint of Spain,internal
money-heist_sentence_0000017,Tokyo,internal
money-heist_sentence_0000017,[3],other
money-heist_sentence_0000018,Nairobi,internal
money-heist_sentence_0000018,[4],other
money-heist_sentence_0000020,Moscow,internal
money-heist_sentence_0000022,[5],other
money-heist_sentence_0000024,Oslo,internal
money-heist_sentence_0000024,Royal Mint of Spain,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000002,Part 4,internal
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000004,Money Heist,internal
money-heist_sentence_0000009,[1],other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000002,Tokyo,internal
money-heist_sentence_0000002,[1],other
money-heist_sentence_0000002,Mariví Fuentes,internal
money-heist_sentence_0000002,Paula Vicuña Murillo,internal
money-heist_sentence_0000002,Laura Murillo,internal
money-heist_sentence_0000002,Alberto Vicuña,internal
money-heist_sentence_0000002,[2],other
money-heist_sentence_0000002,The Professor,internal
money-heist_sentence_0000002,Ángel Rubio,internal
money-heist_sentence_0000002,Helsinki,internal
money-heist_sentence_0000002,Tokyo,internal
money-heist_sentence_0000002,Denver,internal
money-heist_sentence_0000002,Rio,internal
money-heist_sentence_0000002,Stockholm,internal
money-heist_sentence_0000002,Bogotá,internal
money-heist_sentence_0000002,Palermo,internal
money-heist_sentence_0000002,Nairobi,internal
money-heist_sentence_0000002,Manila,internal
money-heist_sentence_0000002,Pamplona,internal
money-heist_sentence_0000002,Marseille,internal
money-heist_sentence_0000002,Benjamín Martínez,internal
money-heist_sentence_0000002,Alicia Sierra,internal
money-heist_sentence_0000002,Alfonso Prieto,internal
money-heist_sentence_0000002,Alberto Vicuña,internal
money-heist_sentence_0000002,Alicia Sierra,internal
money-heist_sentence_0000002,Luis Tamayo,internal
money-heist_sentence_0000002,Suárez,internal
money-heist_sentence_0000002,Arturo Román,internal
money-heist_sentence_0000002,Bank of Spain,internal
money-heist_sentence_0000002,1,internal
money-heist_sentence_0000002,2,internal
money-heist_sentence_0000002,3,internal
money-heist_sentence_0000002,4,internal
money-heist_sentence_0000002,5,internal
money-heist_sentence_0000002,Itziar Ituño,internal
money-heist_sentence_0000002,Cindy Robinson,external
money-heist_sentence_0000002,[3],other
money-heist_sentence_0000002,Ayelet Zurer,external
money-heist_sentence_0000002,[4],other
money-heist_sentence_0000002,Episode 2 (Part 1),internal
money-heist_sentence_0000002,A Family Tradition,internal
money-heist_sentence_0000004,Alberto Vicuña,internal
money-heist_sentence_0000009,The Professor,internal
money-heist_sentence_0000018,The Professor,internal
money-heist_sentence_0000020,Alberto Vicuña,internal
money-heist_sentence_0000023,Mariví Fuentes,internal
money-heist_sentence_0000023,Paula Vicuña Murillo,internal
money-heist_sentence_0000026,Paula Vicuña Murillo,internal
money-heist_sentence_0000028,Laura Murillo,internal
money-heist_sentence_0000036,Alberto Vicuña,internal
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Moscow,internal
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,Benjamín,internal
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,[2],other
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,[3],other
money-heist_sentence_0000001,Miguel Fernández Talanilla,internal
money-heist_sentence_0000001,Moscow,internal
money-heist_sentence_0000001,Cincinnati,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Vane,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Helsinki,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Nairobi,internal
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,Rio,internal
money-heist_sentence_0000001,Bogotá,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Oslo,internal
money-heist_sentence_0000001,Lisbon,internal
money-heist_sentence_0000001,Matías Caño,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Miguel Fernández Talanilla,internal
money-heist_sentence_0000001,Arturo Román,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,Mario Urbaneja,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Suárez,internal
money-heist_sentence_0000001,Luis Tamayo,internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
money-heist_sentence_0000001,3,internal
money-heist_sentence_0000001,4,internal
money-heist_sentence_0000001,5,internal
money-heist_sentence_0000001,Jaime Lorente,internal
money-heist_sentence_0000001,Doug Erholtz,external
money-heist_sentence_0000001,[4],other
money-heist_sentence_0000001,Mike C. Manning,external
money-heist_sentence_0000002,Mike C. Manning,external
money-heist_sentence_0000002,[5],other
money-heist_sentence_0000002,Episode 1 (Part 1),internal
money-heist_sentence_0000002,A Family Tradition,internal
money-heist_sentence_0000002,Money Heist,internal
money-heist_sentence_0000002,Jaime Lorente,internal
money-heist_sentence_0000003,Moscow,internal
money-heist_sentence_0000005,Royal Mint of Spain,internal
money-heist_sentence_0000005,Agustín Ramos (Moscow),internal
money-heist_sentence_0000018,Mónica Gaztambide,internal
money-heist_sentence_0000018,Berlin,internal
money-heist_sentence_0000021,Part 1,internal
money-heist_sentence_0000021,Arturo Román,internal
money-heist_sentence_0000026,Nairobi,internal
money-heist_sentence_0000028,Part 2,internal
money-heist_sentence_0000028,Part 3,internal
money-heist_sentence_0000028,Arturo,internal
money-heist_sentence_0000028,Cincinnati,internal
money-heist_sentence_0000029,Part 3,internal
money-heist_sentence_0000030,Cincinnati,internal
money-heist_sentence_0000031,Bank of Spain,internal
money-heist_sentence_0000032,Bank of Spain Heist,internal
money-heist_sentence_0000032,Miguel Fernández Talanilla,internal
money-heist_sentence_0000037,Part 4,internal
money-heist_sentence_0000043,[6],other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,"

",other
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,[1],other
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,[2],other
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,Axel,internal
money-heist_sentence_0000001,Bogotá,internal
money-heist_sentence_0000001,Helsinki,internal
money-heist_sentence_0000001,Helsinki,internal
money-heist_sentence_0000001,Tokyo,internal
money-heist_sentence_0000001,Rio,internal
money-heist_sentence_0000001,Denver,internal
money-heist_sentence_0000001,Stockholm,internal
money-heist_sentence_0000001,The Professor,internal
money-heist_sentence_0000001,Lisbon,internal
money-heist_sentence_0000001,Marseille,internal
money-heist_sentence_0000001,Moscow,internal
money-heist_sentence_0000001,Oslo,internal
money-heist_sentence_0000001,Matías Caño,internal
money-heist_sentence_0000001,Manila,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,Alison Parker,internal
money-heist_sentence_0000001,Berlin,internal
money-heist_sentence_0000001,Palermo,internal
money-heist_sentence_0000001,Alicia Sierra,internal
money-heist_sentence_0000001,Gandía,internal
money-heist_sentence_0000001,Royal Mint of Spain,internal
money-heist_sentence_0000001,Bank of Spain,internal
money-heist_sentence_0000001,1,internal
money-heist_sentence_0000001,2,internal
